SHL/SAL	((:reg 4))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHR	((:reg 5))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SAR	((:reg 7))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROL	((:reg 0))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROR	((:reg 1))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCL	((:reg 2))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCR	((:reg 3))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHL/SAL	((:reg 4))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHR	((:reg 5))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SAR	((:reg 7))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROL	((:reg 0))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROR	((:reg 1))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCL	((:reg 2))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCR	((:reg 3))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHL/SAL	((:reg 4))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHR	((:reg 5))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SAR	((:reg 7))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
LOOPNE/LOOPNZ	x86-loop
LOOPE/LOOPZ	x86-loop
LOOP	x86-loop
JrCXZ	x86-jrcxz
CALL	x86-call-e8-op/en-m
JMP	x86-near-jmp-op/en-d
JMP	x86-near-jmp-op/en-d
HLT	x86-hlt
CMC	x86-cmc/clc/stc/cld/std
TEST	((:reg 0))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
NOT	((:reg 2))	x86-not/neg-f6-f7
NEG	((:reg 3))	x86-not/neg-f6-f7
MUL	((:reg 4))	x86-mul
IMUL	((:reg 5))	x86-imul-op/en-m
DIV	((:reg 6))	x86-div
IDIV	((:reg 7))	x86-idiv
TEST	((:reg 0))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
NOT	((:reg 2))	x86-not/neg-f6-f7
NEG	((:reg 3))	x86-not/neg-f6-f7
MUL	((:reg 4))	x86-mul
IMUL	((:reg 5))	x86-imul-op/en-m
DIV	((:reg 6))	x86-div
IDIV	((:reg 7))	x86-idiv
CLC	x86-cmc/clc/stc/cld/std
STC	x86-cmc/clc/stc/cld/std
CLD	x86-cmc/clc/stc/cld/std
STD	x86-cmc/clc/stc/cld/std
INC	((:reg 0))	x86-inc/dec-fe-ff
DEC	((:reg 1))	x86-inc/dec-fe-ff
INC	((:reg 0))	x86-inc/dec-fe-ff
DEC	((:reg 1))	x86-inc/dec-fe-ff
CALL	((:reg 2))	x86-call-ff/2-op/en-m
JMP	((:reg 4))	x86-near-jmp-op/en-m
JMP	((:reg 5))	x86-far-jmp-op/en-d
PUSH	((:reg 6))	x86-push-ev
